,id,author,subject,content_url,dtype,date,content
0,1,Daniel Fullarton (JIRA),  [jira] [Created] (CAMEL-11099) Unhandled ClassCastException if fault detail is not JaxbElement,http://mail-archives.apache.org/mod_mbox/camel-issues/201704.mbox/ajax/%3CJIRA.13061008.1491177558000.187517.1491177581519%40Atlassian.JIRA%3E,issues,"Sun, 02 Apr 2017 23:59:41 GMT","Daniel Fullarton created CAMEL-11099:&#010;----------------------------------------&#010;&#010;             Summary: Unhandled ClassCastException if fault detail is not JaxbElement&#010;                 Key: CAMEL-11099&#010;                 URL: https://issues.apache.org/jira/browse/CAMEL-11099&#010;             Project: Camel&#010;          Issue Type: Bug&#010;          Components: camel-soap&#010;            Reporter: Daniel Fullarton&#010;            Priority: Minor&#010;&#010;&#010;Hi,&#010;&#010;I've been having some issues with handling some SOAP faults that come in with a detail message&#010;that is undefined in their WSDL, the result is that they end up as xerces dom elements rather&#010;than JAXBElements.&#010;&#010;I end up with a pretty ugly message that looks like this : &#010;{noformat}&#010;java.lang.ClassCastException: com.sun.org.apache.xerces.internal.dom.ElementNSImpl cannot&#010;be cast to javax.xml.bind.JAXBElement&#010;&#009;at org.apache.camel.dataformat.soap.Soap11DataFormatAdapter.createExceptionFromFault(Soap11DataFormatAdapter.java:195)&#010;&#009;at org.apache.camel.dataformat.soap.Soap11DataFormatAdapter.doUnmarshal(Soap11DataFormatAdapter.java:170)&#010;&#009;at org.apache.camel.dataformat.soap.SoapJaxbDataFormat.unmarshal(SoapJaxbDataFormat.java:287)&#010;&#009;at org.apache.camel.processor.UnmarshalProcessor.process(UnmarshalProcessor.java:69)&#010;&#009;at org.apache.camel.management.InstrumentationProcessor.process(InstrumentationProcessor.java:77)&#010;&#009;at org.apache.camel.processor.RedeliveryErrorHandler.process(RedeliveryErrorHandler.java:460)&#010;&#009;at org.apache.camel.processor.CamelInternalProcessor.process(CamelInternalProcessor.java:190)&#010;{noformat}&#010;&#010;It's pretty had to intercept this in the pipeline, so at the moment I've handled parsing the&#010;response myself rather than the soap dataformat, but I would like to avoid this in the future&#010;as it does require a bit of custom code.&#010;&#010;I'll create a PR that demonstrates what I believe is a reasonable workaround.&#010;&#010;Cheers,&#010;Daniel&#010;&#010;&#010;&#010;&#010;--&#010;This message was sent by Atlassian JIRA&#010;(v6.3.15#6346)&#010;&#010;"
1,2,ASF GitHub Bot (JIRA),  [jira] [Commented] (CAMEL-11099) Unhandled ClassCastException if fault detail is not JaxbElement,http://mail-archives.apache.org/mod_mbox/camel-issues/201704.mbox/ajax/%3CJIRA.13061008.1491177558000.187519.1491177687915%40Atlassian.JIRA%3E,issues,"Mon, 03 Apr 2017 00:01:27 GMT","&#010;    [ https://issues.apache.org/jira/browse/CAMEL-11099?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&amp;focusedCommentId=15952892#comment-15952892&#010;] &#010;&#010;ASF GitHub Bot commented on CAMEL-11099:&#010;----------------------------------------&#010;&#010;GitHub user linead opened a pull request:&#010;&#010;    https://github.com/apache/camel/pull/1589&#010;&#010;    CAMEL-11099: Resolve issue caused by unresolve elements hanging off tâ€¦&#010;&#010;    &#010;&#010;You can merge this pull request into a Git repository by running:&#010;&#010;    $ git pull https://github.com/linead/camel soap-fault-error-handling&#010;&#010;Alternatively you can review and apply these changes as the patch at:&#010;&#010;    https://github.com/apache/camel/pull/1589.patch&#010;&#010;To close this pull request, make a commit to your master/trunk branch&#010;with (at least) the following in the commit message:&#010;&#010;    This closes #1589&#010;    &#010;----&#010;commit 34edd2cd3edc83b10c4c9bae0518fcf8ca144735&#010;Author: Daniel Fullarton &lt;daniel.fullarton@nab.com.au&gt;&#010;Date:   2017-04-02T23:32:13Z&#010;&#010;    CAMEL-11099: Resolve issue caused by unresolve elements hanging off the faul detail&#010;&#010;----&#010;&#010;&#010;&gt; Unhandled ClassCastException if fault detail is not JaxbElement&#010;&gt; ---------------------------------------------------------------&#010;&gt;&#010;&gt;                 Key: CAMEL-11099&#010;&gt;                 URL: https://issues.apache.org/jira/browse/CAMEL-11099&#010;&gt;             Project: Camel&#010;&gt;          Issue Type: Bug&#010;&gt;          Components: camel-soap&#010;&gt;            Reporter: Daniel Fullarton&#010;&gt;            Priority: Minor&#010;&gt;&#010;&gt; Hi,&#010;&gt; I've been having some issues with handling some SOAP faults that come in with a detail&#010;message that is undefined in their WSDL, the result is that they end up as xerces dom elements&#010;rather than JAXBElements.&#010;&gt; I end up with a pretty ugly message that looks like this : &#010;&gt; {noformat}&#010;&gt; java.lang.ClassCastException: com.sun.org.apache.xerces.internal.dom.ElementNSImpl cannot&#010;be cast to javax.xml.bind.JAXBElement&#010;&gt; &#009;at org.apache.camel.dataformat.soap.Soap11DataFormatAdapter.createExceptionFromFault(Soap11DataFormatAdapter.java:195)&#010;&gt; &#009;at org.apache.camel.dataformat.soap.Soap11DataFormatAdapter.doUnmarshal(Soap11DataFormatAdapter.java:170)&#010;&gt; &#009;at org.apache.camel.dataformat.soap.SoapJaxbDataFormat.unmarshal(SoapJaxbDataFormat.java:287)&#010;&gt; &#009;at org.apache.camel.processor.UnmarshalProcessor.process(UnmarshalProcessor.java:69)&#010;&gt; &#009;at org.apache.camel.management.InstrumentationProcessor.process(InstrumentationProcessor.java:77)&#010;&gt; &#009;at org.apache.camel.processor.RedeliveryErrorHandler.process(RedeliveryErrorHandler.java:460)&#010;&gt; &#009;at org.apache.camel.processor.CamelInternalProcessor.process(CamelInternalProcessor.java:190)&#010;&gt; {noformat}&#010;&gt; It's pretty had to intercept this in the pipeline, so at the moment I've handled parsing&#010;the response myself rather than the soap dataformat, but I would like to avoid this in the&#010;future as it does require a bit of custom code.&#010;&gt; I'll create a PR that demonstrates what I believe is a reasonable workaround.&#010;&gt; Cheers,&#010;&gt; Daniel&#010;&#010;&#010;&#010;--&#010;This message was sent by Atlassian JIRA&#010;(v6.3.15#6346)&#010;&#010;"
2,3,Zoran Regvart (JIRA),  [jira] [Resolved] (CAMEL-11099) Unhandled ClassCastException if fault detail is not JaxbElement,http://mail-archives.apache.org/mod_mbox/camel-issues/201704.mbox/ajax/%3CJIRA.13061008.1491177558000.200656.1491312821850%40Atlassian.JIRA%3E,issues,"Tue, 04 Apr 2017 13:33:41 GMT","&#010;     [ https://issues.apache.org/jira/browse/CAMEL-11099?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel&#010;]&#010;&#010;Zoran Regvart resolved CAMEL-11099.&#010;-----------------------------------&#010;       Resolution: Fixed&#010;         Assignee: Zoran Regvart&#010;    Fix Version/s: 2.19.0&#010;&#010;Merged to master from [PR#1589|https://github.com/apache/camel/pull/1589]&#010;&#010;&gt; Unhandled ClassCastException if fault detail is not JaxbElement&#010;&gt; ---------------------------------------------------------------&#010;&gt;&#010;&gt;                 Key: CAMEL-11099&#010;&gt;                 URL: https://issues.apache.org/jira/browse/CAMEL-11099&#010;&gt;             Project: Camel&#010;&gt;          Issue Type: Bug&#010;&gt;          Components: camel-soap&#010;&gt;            Reporter: Daniel Fullarton&#010;&gt;            Assignee: Zoran Regvart&#010;&gt;            Priority: Minor&#010;&gt;             Fix For: 2.19.0&#010;&gt;&#010;&gt;&#010;&gt; Hi,&#010;&gt; I've been having some issues with handling some SOAP faults that come in with a detail&#010;message that is undefined in their WSDL, the result is that they end up as xerces dom elements&#010;rather than JAXBElements.&#010;&gt; I end up with a pretty ugly message that looks like this : &#010;&gt; {noformat}&#010;&gt; java.lang.ClassCastException: com.sun.org.apache.xerces.internal.dom.ElementNSImpl cannot&#010;be cast to javax.xml.bind.JAXBElement&#010;&gt; &#009;at org.apache.camel.dataformat.soap.Soap11DataFormatAdapter.createExceptionFromFault(Soap11DataFormatAdapter.java:195)&#010;&gt; &#009;at org.apache.camel.dataformat.soap.Soap11DataFormatAdapter.doUnmarshal(Soap11DataFormatAdapter.java:170)&#010;&gt; &#009;at org.apache.camel.dataformat.soap.SoapJaxbDataFormat.unmarshal(SoapJaxbDataFormat.java:287)&#010;&gt; &#009;at org.apache.camel.processor.UnmarshalProcessor.process(UnmarshalProcessor.java:69)&#010;&gt; &#009;at org.apache.camel.management.InstrumentationProcessor.process(InstrumentationProcessor.java:77)&#010;&gt; &#009;at org.apache.camel.processor.RedeliveryErrorHandler.process(RedeliveryErrorHandler.java:460)&#010;&gt; &#009;at org.apache.camel.processor.CamelInternalProcessor.process(CamelInternalProcessor.java:190)&#010;&gt; {noformat}&#010;&gt; It's pretty had to intercept this in the pipeline, so at the moment I've handled parsing&#010;the response myself rather than the soap dataformat, but I would like to avoid this in the&#010;future as it does require a bit of custom code.&#010;&gt; I'll create a PR that demonstrates what I believe is a reasonable workaround.&#010;&gt; Cheers,&#010;&gt; Daniel&#010;&#010;&#010;&#010;--&#010;This message was sent by Atlassian JIRA&#010;(v6.3.15#6346)&#010;&#010;"
3,4,ASF GitHub Bot (JIRA),  [jira] [Commented] (CAMEL-11099) Unhandled ClassCastException if fault detail is not JaxbElement,http://mail-archives.apache.org/mod_mbox/camel-issues/201704.mbox/ajax/%3CJIRA.13061008.1491177558000.206772.1491356321613%40Atlassian.JIRA%3E,issues,"Wed, 05 Apr 2017 01:38:41 GMT","&#010;    [ https://issues.apache.org/jira/browse/CAMEL-11099?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&amp;focusedCommentId=15956165#comment-15956165&#010;] &#010;&#010;ASF GitHub Bot commented on CAMEL-11099:&#010;----------------------------------------&#010;&#010;Github user linead closed the pull request at:&#010;&#010;    https://github.com/apache/camel/pull/1589&#010;&#010;&#010;&gt; Unhandled ClassCastException if fault detail is not JaxbElement&#010;&gt; ---------------------------------------------------------------&#010;&gt;&#010;&gt;                 Key: CAMEL-11099&#010;&gt;                 URL: https://issues.apache.org/jira/browse/CAMEL-11099&#010;&gt;             Project: Camel&#010;&gt;          Issue Type: Bug&#010;&gt;          Components: camel-soap&#010;&gt;            Reporter: Daniel Fullarton&#010;&gt;            Assignee: Zoran Regvart&#010;&gt;            Priority: Minor&#010;&gt;             Fix For: 2.19.0&#010;&gt;&#010;&gt;&#010;&gt; Hi,&#010;&gt; I've been having some issues with handling some SOAP faults that come in with a detail&#010;message that is undefined in their WSDL, the result is that they end up as xerces dom elements&#010;rather than JAXBElements.&#010;&gt; I end up with a pretty ugly message that looks like this : &#010;&gt; {noformat}&#010;&gt; java.lang.ClassCastException: com.sun.org.apache.xerces.internal.dom.ElementNSImpl cannot&#010;be cast to javax.xml.bind.JAXBElement&#010;&gt; &#009;at org.apache.camel.dataformat.soap.Soap11DataFormatAdapter.createExceptionFromFault(Soap11DataFormatAdapter.java:195)&#010;&gt; &#009;at org.apache.camel.dataformat.soap.Soap11DataFormatAdapter.doUnmarshal(Soap11DataFormatAdapter.java:170)&#010;&gt; &#009;at org.apache.camel.dataformat.soap.SoapJaxbDataFormat.unmarshal(SoapJaxbDataFormat.java:287)&#010;&gt; &#009;at org.apache.camel.processor.UnmarshalProcessor.process(UnmarshalProcessor.java:69)&#010;&gt; &#009;at org.apache.camel.management.InstrumentationProcessor.process(InstrumentationProcessor.java:77)&#010;&gt; &#009;at org.apache.camel.processor.RedeliveryErrorHandler.process(RedeliveryErrorHandler.java:460)&#010;&gt; &#009;at org.apache.camel.processor.CamelInternalProcessor.process(CamelInternalProcessor.java:190)&#010;&gt; {noformat}&#010;&gt; It's pretty had to intercept this in the pipeline, so at the moment I've handled parsing&#010;the response myself rather than the soap dataformat, but I would like to avoid this in the&#010;future as it does require a bit of custom code.&#010;&gt; I'll create a PR that demonstrates what I believe is a reasonable workaround.&#010;&gt; Cheers,&#010;&gt; Daniel&#010;&#010;&#010;&#010;--&#010;This message was sent by Atlassian JIRA&#010;(v6.3.15#6346)&#010;&#010;"
4,5,,[jira] [Commented] (CAMEL-11092) If setting Exchange.REST_HTTP_URI the RestProducer should remove Exchange.HTTP_PATH header,http://mail-archives.apache.org/mod_mbox/camel-issues/201704.mbox/ajax/%3CJIRA.13061008.1491177558000.206772.1491356321613%40Atlassian.JIRA%3E,issues,"Wed, 05 Apr 2017 01:38:41 GMT","&#010;    [ https://issues.apache.org/jira/browse/CAMEL-11099?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&amp;focusedCommentId=15956165#comment-15956165&#010;] &#010;&#010;ASF GitHub Bot commented on CAMEL-11099:&#010;----------------------------------------&#010;&#010;Github user linead closed the pull request at:&#010;&#010;    https://github.com/apache/camel/pull/1589&#010;&#010;&#010;&gt; Unhandled ClassCastException if fault detail is not JaxbElement&#010;&gt; ---------------------------------------------------------------&#010;&gt;&#010;&gt;                 Key: CAMEL-11099&#010;&gt;                 URL: https://issues.apache.org/jira/browse/CAMEL-11099&#010;&gt;             Project: Camel&#010;&gt;          Issue Type: Bug&#010;&gt;          Components: camel-soap&#010;&gt;            Reporter: Daniel Fullarton&#010;&gt;            Assignee: Zoran Regvart&#010;&gt;            Priority: Minor&#010;&gt;             Fix For: 2.19.0&#010;&gt;&#010;&gt;&#010;&gt; Hi,&#010;&gt; I've been having some issues with handling some SOAP faults that come in with a detail&#010;message that is undefined in their WSDL, the result is that they end up as xerces dom elements&#010;rather than JAXBElements.&#010;&gt; I end up with a pretty ugly message that looks like this : &#010;&gt; {noformat}&#010;&gt; java.lang.ClassCastException: com.sun.org.apache.xerces.internal.dom.ElementNSImpl cannot&#010;be cast to javax.xml.bind.JAXBElement&#010;&gt; &#009;at org.apache.camel.dataformat.soap.Soap11DataFormatAdapter.createExceptionFromFault(Soap11DataFormatAdapter.java:195)&#010;&gt; &#009;at org.apache.camel.dataformat.soap.Soap11DataFormatAdapter.doUnmarshal(Soap11DataFormatAdapter.java:170)&#010;&gt; &#009;at org.apache.camel.dataformat.soap.SoapJaxbDataFormat.unmarshal(SoapJaxbDataFormat.java:287)&#010;&gt; &#009;at org.apache.camel.processor.UnmarshalProcessor.process(UnmarshalProcessor.java:69)&#010;&gt; &#009;at org.apache.camel.management.InstrumentationProcessor.process(InstrumentationProcessor.java:77)&#010;&gt; &#009;at org.apache.camel.processor.RedeliveryErrorHandler.process(RedeliveryErrorHandler.java:460)&#010;&gt; &#009;at org.apache.camel.processor.CamelInternalProcessor.process(CamelInternalProcessor.java:190)&#010;&gt; {noformat}&#010;&gt; It's pretty had to intercept this in the pipeline, so at the moment I've handled parsing&#010;the response myself rather than the soap dataformat, but I would like to avoid this in the&#010;future as it does require a bit of custom code.&#010;&gt; I'll create a PR that demonstrates what I believe is a reasonable workaround.&#010;&gt; Cheers,&#010;&gt; Daniel&#010;&#010;&#010;&#010;--&#010;This message was sent by Atlassian JIRA&#010;(v6.3.15#6346)&#010;&#010;"
5,6,ASF GitHub Bot (JIRA),  [jira] [Commented] (CAMEL-11092) If setting Exchange.REST_HTTP_URI the RestProducer should remove Exchange.HTTP_PATH header,http://mail-archives.apache.org/mod_mbox/camel-issues/201704.mbox/ajax/%3CJIRA.13060026.1490791958000.188791.1491205481677%40Atlassian.JIRA%3E,issues,"Mon, 03 Apr 2017 07:44:41 GMT","&#010;    [ https://issues.apache.org/jira/browse/CAMEL-11092?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&amp;focusedCommentId=15953092#comment-15953092&#010;] &#010;&#010;ASF GitHub Bot commented on CAMEL-11092:&#010;----------------------------------------&#010;&#010;Github user zregvart closed the pull request at:&#010;&#010;    https://github.com/apache/camel/pull/1580&#010;&#010;&#010;&gt; If setting Exchange.REST_HTTP_URI the RestProducer should remove Exchange.HTTP_PATH header&#010;&gt; ------------------------------------------------------------------------------------------&#010;&gt;&#010;&gt;                 Key: CAMEL-11092&#010;&gt;                 URL: https://issues.apache.org/jira/browse/CAMEL-11092&#010;&gt;             Project: Camel&#010;&gt;          Issue Type: Improvement&#010;&gt;          Components: camel-core&#010;&gt;            Reporter: Zoran Regvart&#010;&gt;            Assignee: Zoran Regvart&#010;&gt;&#010;&gt; One of patterns in using microservices is consuming REST and producing from REST resources&#010;using REST component. For instance have a frontend exposed API using REST DSL and calling&#010;backend using REST producer.&#010;&gt; As most HTTP components generate URIs by concatenating {{Exchange.REST_HTTP_URI}} and&#010;{{Exchange.HTTP_PATH}} when the REST producer generates {{Exchange.REST_HTTP_URI}} header&#010;that contains the whole URI to be used it should remove the {{Exchange.HTTP_PATH}} header&#010;in order to prevent incorrect URIs.&#010;&gt; For example {{Exchange.HTTP_PATH}} is set by the REST consumer to {{/api/pet/123}}, and&#010;REST producer is configured with {{Exchange.REST_HTTP_URI}} with URI {{/api/pet/&amp;#123;petId&amp;#125;}}&#010;if the {{Exchange.HTTP_PATH}} is not removed HTTP component (IMHO all except for Restlet)&#010;would try to send the request to {{/api/pet/&amp;#123;petId&amp;#125;/api/pet/123}}.&#010;&#010;&#010;&#010;--&#010;This message was sent by Atlassian JIRA&#010;(v6.3.15#6346)&#010;&#010;"
6,7,Claus Ibsen (JIRA),  [jira] [Commented] (CAMEL-11092) If setting Exchange.REST_HTTP_URI the RestProducer should remove Exchange.HTTP_PATH header,http://mail-archives.apache.org/mod_mbox/camel-issues/201704.mbox/ajax/%3CJIRA.13060026.1490791958000.263565.1491985961783%40Atlassian.JIRA%3E,issues,"Wed, 12 Apr 2017 08:32:41 GMT","&#010;    [ https://issues.apache.org/jira/browse/CAMEL-11092?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&amp;focusedCommentId=15965551#comment-15965551&#010;] &#010;&#010;Claus Ibsen commented on CAMEL-11092:&#010;-------------------------------------&#010;&#010;Is this not fixed?&#010;&#010;&gt; If setting Exchange.REST_HTTP_URI the RestProducer should remove Exchange.HTTP_PATH header&#010;&gt; ------------------------------------------------------------------------------------------&#010;&gt;&#010;&gt;                 Key: CAMEL-11092&#010;&gt;                 URL: https://issues.apache.org/jira/browse/CAMEL-11092&#010;&gt;             Project: Camel&#010;&gt;          Issue Type: Improvement&#010;&gt;          Components: camel-core&#010;&gt;            Reporter: Zoran Regvart&#010;&gt;            Assignee: Zoran Regvart&#010;&gt;&#010;&gt; One of patterns in using microservices is consuming REST and producing from REST resources&#010;using REST component. For instance have a frontend exposed API using REST DSL and calling&#010;backend using REST producer.&#010;&gt; As most HTTP components generate URIs by concatenating {{Exchange.REST_HTTP_URI}} and&#010;{{Exchange.HTTP_PATH}} when the REST producer generates {{Exchange.REST_HTTP_URI}} header&#010;that contains the whole URI to be used it should remove the {{Exchange.HTTP_PATH}} header&#010;in order to prevent incorrect URIs.&#010;&gt; For example {{Exchange.HTTP_PATH}} is set by the REST consumer to {{/api/pet/123}}, and&#010;REST producer is configured with {{Exchange.REST_HTTP_URI}} with URI {{/api/pet/&amp;#123;petId&amp;#125;}}&#010;if the {{Exchange.HTTP_PATH}} is not removed HTTP component (IMHO all except for Restlet)&#010;would try to send the request to {{/api/pet/&amp;#123;petId&amp;#125;/api/pet/123}}.&#010;&#010;&#010;&#010;--&#010;This message was sent by Atlassian JIRA&#010;(v6.3.15#6346)&#010;&#010;"
7,8,Zoran Regvart (JIRA),  [jira] [Resolved] (CAMEL-11092) If setting Exchange.REST_HTTP_URI the RestProducer should remove Exchange.HTTP_PATH header,http://mail-archives.apache.org/mod_mbox/camel-issues/201704.mbox/ajax/%3CJIRA.13060026.1490791958000.263623.1491986802052%40Atlassian.JIRA%3E,issues,"Wed, 12 Apr 2017 08:46:42 GMT","&#010;     [ https://issues.apache.org/jira/browse/CAMEL-11092?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel&#010;]&#010;&#010;Zoran Regvart resolved CAMEL-11092.&#010;-----------------------------------&#010;       Resolution: Fixed&#010;    Fix Version/s: 2.19.0&#010;&#010;&gt; If setting Exchange.REST_HTTP_URI the RestProducer should remove Exchange.HTTP_PATH header&#010;&gt; ------------------------------------------------------------------------------------------&#010;&gt;&#010;&gt;                 Key: CAMEL-11092&#010;&gt;                 URL: https://issues.apache.org/jira/browse/CAMEL-11092&#010;&gt;             Project: Camel&#010;&gt;          Issue Type: Improvement&#010;&gt;          Components: camel-core&#010;&gt;            Reporter: Zoran Regvart&#010;&gt;            Assignee: Zoran Regvart&#010;&gt;             Fix For: 2.19.0&#010;&gt;&#010;&gt;&#010;&gt; One of patterns in using microservices is consuming REST and producing from REST resources&#010;using REST component. For instance have a frontend exposed API using REST DSL and calling&#010;backend using REST producer.&#010;&gt; As most HTTP components generate URIs by concatenating {{Exchange.REST_HTTP_URI}} and&#010;{{Exchange.HTTP_PATH}} when the REST producer generates {{Exchange.REST_HTTP_URI}} header&#010;that contains the whole URI to be used it should remove the {{Exchange.HTTP_PATH}} header&#010;in order to prevent incorrect URIs.&#010;&gt; For example {{Exchange.HTTP_PATH}} is set by the REST consumer to {{/api/pet/123}}, and&#010;REST producer is configured with {{Exchange.REST_HTTP_URI}} with URI {{/api/pet/&amp;#123;petId&amp;#125;}}&#010;if the {{Exchange.HTTP_PATH}} is not removed HTTP component (IMHO all except for Restlet)&#010;would try to send the request to {{/api/pet/&amp;#123;petId&amp;#125;/api/pet/123}}.&#010;&#010;&#010;&#010;--&#010;This message was sent by Atlassian JIRA&#010;(v6.3.15#6346)&#010;&#010;"
8,9,,[jira] [Updated] (CAMEL-11019) Customise message history dump format,http://mail-archives.apache.org/mod_mbox/camel-issues/201704.mbox/ajax/%3CJIRA.13060026.1490791958000.263623.1491986802052%40Atlassian.JIRA%3E,issues,"Wed, 12 Apr 2017 08:46:42 GMT","&#010;     [ https://issues.apache.org/jira/browse/CAMEL-11092?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel&#010;]&#010;&#010;Zoran Regvart resolved CAMEL-11092.&#010;-----------------------------------&#010;       Resolution: Fixed&#010;    Fix Version/s: 2.19.0&#010;&#010;&gt; If setting Exchange.REST_HTTP_URI the RestProducer should remove Exchange.HTTP_PATH header&#010;&gt; ------------------------------------------------------------------------------------------&#010;&gt;&#010;&gt;                 Key: CAMEL-11092&#010;&gt;                 URL: https://issues.apache.org/jira/browse/CAMEL-11092&#010;&gt;             Project: Camel&#010;&gt;          Issue Type: Improvement&#010;&gt;          Components: camel-core&#010;&gt;            Reporter: Zoran Regvart&#010;&gt;            Assignee: Zoran Regvart&#010;&gt;             Fix For: 2.19.0&#010;&gt;&#010;&gt;&#010;&gt; One of patterns in using microservices is consuming REST and producing from REST resources&#010;using REST component. For instance have a frontend exposed API using REST DSL and calling&#010;backend using REST producer.&#010;&gt; As most HTTP components generate URIs by concatenating {{Exchange.REST_HTTP_URI}} and&#010;{{Exchange.HTTP_PATH}} when the REST producer generates {{Exchange.REST_HTTP_URI}} header&#010;that contains the whole URI to be used it should remove the {{Exchange.HTTP_PATH}} header&#010;in order to prevent incorrect URIs.&#010;&gt; For example {{Exchange.HTTP_PATH}} is set by the REST consumer to {{/api/pet/123}}, and&#010;REST producer is configured with {{Exchange.REST_HTTP_URI}} with URI {{/api/pet/&amp;#123;petId&amp;#125;}}&#010;if the {{Exchange.HTTP_PATH}} is not removed HTTP component (IMHO all except for Restlet)&#010;would try to send the request to {{/api/pet/&amp;#123;petId&amp;#125;/api/pet/123}}.&#010;&#010;&#010;&#010;--&#010;This message was sent by Atlassian JIRA&#010;(v6.3.15#6346)&#010;&#010;"
9,10,Zoran Regvart (JIRA),  [jira] [Updated] (CAMEL-11019) Customise message history dump format,http://mail-archives.apache.org/mod_mbox/camel-issues/201704.mbox/ajax/%3CJIRA.13056351.1489596667000.188860.1491206261673%40Atlassian.JIRA%3E,issues,"Mon, 03 Apr 2017 07:57:41 GMT",&#010;     [ https://issues.apache.org/jira/browse/CAMEL-11019?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel&#010;]&#010;&#010;Zoran Regvart updated CAMEL-11019:&#010;----------------------------------&#010;    Summary: Customise message history dump format  (was: Please insert setter and getter&#010;for MESSAGE_HISTORY_HEADER and MESSAGE_HISTORY_OUTPUT)&#010;&#010;&gt; Customise message history dump format&#010;&gt; -------------------------------------&#010;&gt;&#010;&gt;                 Key: CAMEL-11019&#010;&gt;                 URL: https://issues.apache.org/jira/browse/CAMEL-11019&#010;&gt;             Project: Camel&#010;&gt;          Issue Type: Wish&#010;&gt;          Components: camel-core&#010;&gt;    Affects Versions: 2.17.5&#010;&gt;            Reporter: BjÃ¶rn Paulsen&#010;&gt;            Assignee: onder sezgin&#010;&gt;            Priority: Minor&#010;&gt;             Fix For: Future&#010;&gt;&#010;&gt;&#010;&gt; We use IDs for Processors and some others. Our IDs are longer than 18 chars so we cannot&#010;read the MessageHistory clearly. But MessageHelper is final and both properties too. Please&#010;give us a chance to customize the MessageHistory. Thank you&#010;&#010;&#010;&#010;--&#010;This message was sent by Atlassian JIRA&#010;(v6.3.15#6346)&#010;&#010;
