,id,author,subject,date,content_url,dtype,content
0,0,linead,[GitHub] camel pull request #1589: CAMEL-11099: Resolve issue caused by unresolve ele...,"Mon, 03 Apr, 00:00",http://mail-archives.apache.org/mod_mbox/camel-dev/201704.mbox/ajax/%3Cgit-pr-1589-camel%40git.apache.org%3E,mails,"GitHub user linead opened a pull request:&#010;&#010;    https://github.com/apache/camel/pull/1589&#010;&#010;    CAMEL-11099: Resolve issue caused by unresolve elements hanging off tâ€¦&#010;&#010;    &#010;&#010;You can merge this pull request into a Git repository by running:&#010;&#010;    $ git pull https://github.com/linead/camel soap-fault-error-handling&#010;&#010;Alternatively you can review and apply these changes as the patch at:&#010;&#010;    https://github.com/apache/camel/pull/1589.patch&#010;&#010;To close this pull request, make a commit to your master/trunk branch&#010;with (at least) the following in the commit message:&#010;&#010;    This closes #1589&#010;    &#010;----&#010;commit 34edd2cd3edc83b10c4c9bae0518fcf8ca144735&#010;Author: Daniel Fullarton &lt;daniel.fullarton@nab.com.au&gt;&#010;Date:   2017-04-02T23:32:13Z&#010;&#010;    CAMEL-11099: Resolve issue caused by unresolve elements hanging off the faul detail&#010;&#010;----&#010;&#010;&#010;---&#010;If your project is set up for it, you can reply to this email and have your&#010;reply appear on GitHub as well. If your project does not have this feature&#010;enabled and wishes so, or if the feature is enabled but not working, please&#010;contact infrastructure at infrastructure@apache.org or file a JIRA ticket&#010;with INFRA.&#010;---&#010;&#010;"
1,1,linead,  [GitHub] camel pull request #1589: CAMEL-11099: Resolve issue caused by unresolve ele...,"Wed, 05 Apr, 01:37",http://mail-archives.apache.org/mod_mbox/camel-dev/201704.mbox/ajax/%3C20170405013753.12173DFE34%40git1-us-west.apache.org%3E,mails,"Github user linead closed the pull request at:&#010;&#010;    https://github.com/apache/camel/pull/1589&#010;&#010;&#010;---&#010;If your project is set up for it, you can reply to this email and have your&#010;reply appear on GitHub as well. If your project does not have this feature&#010;enabled and wishes so, or if the feature is enabled but not working, please&#010;contact infrastructure at infrastructure@apache.org or file a JIRA ticket&#010;with INFRA.&#010;---&#010;&#010;"
2,2,,[GitHub] camel pull request #1580: CAMEL-11092 If setting Exchange.REST_HTTP_URI the ...,,http://mail-archives.apache.org/mod_mbox/camel-dev/201704.mbox/ajax/%3C20170405013753.12173DFE34%40git1-us-west.apache.org%3E,mails,"Github user linead closed the pull request at:&#010;&#010;    https://github.com/apache/camel/pull/1589&#010;&#010;&#010;---&#010;If your project is set up for it, you can reply to this email and have your&#010;reply appear on GitHub as well. If your project does not have this feature&#010;enabled and wishes so, or if the feature is enabled but not working, please&#010;contact infrastructure at infrastructure@apache.org or file a JIRA ticket&#010;with INFRA.&#010;---&#010;&#010;"
3,3,zregvart,  [GitHub] camel pull request #1580: CAMEL-11092 If setting Exchange.REST_HTTP_URI the ...,"Mon, 03 Apr, 07:43",http://mail-archives.apache.org/mod_mbox/camel-dev/201704.mbox/ajax/%3C20170403074358.C93FFDFE59%40git1-us-west.apache.org%3E,mails,"Github user zregvart closed the pull request at:&#010;&#010;    https://github.com/apache/camel/pull/1580&#010;&#010;&#010;---&#010;If your project is set up for it, you can reply to this email and have your&#010;reply appear on GitHub as well. If your project does not have this feature&#010;enabled and wishes so, or if the feature is enabled but not working, please&#010;contact infrastructure at infrastructure@apache.org or file a JIRA ticket&#010;with INFRA.&#010;---&#010;&#010;"
4,4,,[GitHub] camel pull request #1587: CAMEL-11019- message history formatting via global...,,http://mail-archives.apache.org/mod_mbox/camel-dev/201704.mbox/ajax/%3C20170403074358.C93FFDFE59%40git1-us-west.apache.org%3E,mails,"Github user zregvart closed the pull request at:&#010;&#010;    https://github.com/apache/camel/pull/1580&#010;&#010;&#010;---&#010;If your project is set up for it, you can reply to this email and have your&#010;reply appear on GitHub as well. If your project does not have this feature&#010;enabled and wishes so, or if the feature is enabled but not working, please&#010;contact infrastructure at infrastructure@apache.org or file a JIRA ticket&#010;with INFRA.&#010;---&#010;&#010;"
5,5,onders86,  [GitHub] camel pull request #1587: CAMEL-11019- message history formatting via global...,"Mon, 03 Apr, 08:13",http://mail-archives.apache.org/mod_mbox/camel-dev/201704.mbox/ajax/%3C20170403081359.43CD9DFC8E%40git1-us-west.apache.org%3E,mails,"Github user onders86 closed the pull request at:&#010;&#010;    https://github.com/apache/camel/pull/1587&#010;&#010;&#010;---&#010;If your project is set up for it, you can reply to this email and have your&#010;reply appear on GitHub as well. If your project does not have this feature&#010;enabled and wishes so, or if the feature is enabled but not working, please&#010;contact infrastructure at infrastructure@apache.org or file a JIRA ticket&#010;with INFRA.&#010;---&#010;&#010;"
6,6,,Re: Camel 2.19 Roadmap,,http://mail-archives.apache.org/mod_mbox/camel-dev/201704.mbox/ajax/%3C20170403081359.43CD9DFC8E%40git1-us-west.apache.org%3E,mails,"Github user onders86 closed the pull request at:&#010;&#010;    https://github.com/apache/camel/pull/1587&#010;&#010;&#010;---&#010;If your project is set up for it, you can reply to this email and have your&#010;reply appear on GitHub as well. If your project does not have this feature&#010;enabled and wishes so, or if the feature is enabled but not working, please&#010;contact infrastructure at infrastructure@apache.org or file a JIRA ticket&#010;with INFRA.&#010;---&#010;&#010;"
7,7,Gregor Zurowski,  Re: Camel 2.19 Roadmap,"Mon, 03 Apr, 12:14",http://mail-archives.apache.org/mod_mbox/camel-dev/201704.mbox/ajax/%3CCADL1oArZDm8_8Gyy-e15NeUQajdota%2BiUcsRSiiOTV65oi_VLg%40mail.gmail.com%3E,mails,"Hi,&#010;&#010;Are we getting closer to build a 2.19.0 release?  I would volunteer&#010;for creating the release, just wanted to check when would be a good&#010;time to do so.&#010;&#010;Thanks,&#010;Gregor&#010;&#010;&#010;On Wed, Mar 15, 2017 at 9:29 AM, Claus Ibsen &lt;claus.ibsen@gmail.com&gt; wrote:&#010;&gt; Hi&#010;&gt;&#010;&gt; Just wanted to bring up that we are closing in on a good time for&#010;&gt; doing a new release.&#010;&gt;&#010;&gt; For example in mid April it would be around 6 months since the last&#010;&gt; 2.18.0 release.&#010;&gt;&#010;&gt; Therefore we should start closing down and fixing bugs, and make sure&#010;&gt; the CI servers and tests are in good shape.&#010;&gt; This morning we have fixed a number of recent test failures and are&#010;&gt; down to only 1 test failure now.&#010;&gt;&#010;&gt;&#010;&gt;&#010;&gt; On Mon, Jan 16, 2017 at 10:28 AM, Claus Ibsen &lt;claus.ibsen@gmail.com&gt; wrote:&#010;&gt;&gt; Hi&#010;&gt;&gt;&#010;&gt;&gt; There is a bunch of stuff which we can/should have on the roadmap to&#010;&gt;&gt; complete for the Camel 2.19 release.&#010;&gt;&gt;&#010;&gt;&gt; Here is on top of my head&#010;&gt;&gt;&#010;&gt;&gt; 1)&#010;&gt;&gt; Finish migrating the wiki documentation to adoc files. I think its&#010;&gt;&gt; most of the EIP patterns that are missing. There is a basic list of&#010;&gt;&gt; EIPs here: https://github.com/apache/camel/blob/master/camel-core/readme-eip.adoc&#010;&gt;&gt;&#010;&gt;&gt; 2)&#010;&gt;&gt; Generate documentation and website. Maybe documentation first and then&#010;&gt;&gt; we come up with a modern website later - when we have a new logo as&#010;&gt;&gt; well.&#010;&gt;&gt;&#010;&gt;&gt; 3)&#010;&gt;&gt; Mark more stuff to @deprecate so we dont drag them into Camel 3.0.&#010;&gt;&gt; This is both components / and other artifacts.&#010;&gt;&gt; And as well the camel-core APIs where there is maybe more we can deprecate.&#010;&gt;&gt; For example the old stuff that was created prior to the component docs&#010;&gt;&gt; we do now with the apt plugin at build time instead of this old code&#010;&gt;&gt; with runtime that dont really pan out anyway.&#010;&gt;&gt;&#010;&gt;&gt; 4)&#010;&gt;&gt; Move spring-boot starters into the platforms folder. There is a ticket&#010;&gt;&gt; about this.&#010;&gt;&gt;&#010;&gt;&gt; 5)&#010;&gt;&gt; More improvements to spring boot auto configuration. We have a bunch&#010;&gt;&gt; of tickets on that.&#010;&gt;&gt;&#010;&gt;&gt; 6)&#010;&gt;&gt; Look at the health check API and see if there is something we can get&#010;&gt;&gt; started on.&#010;&gt;&gt; Possible some API to integrate with spring boot actuators (when using&#010;&gt;&gt; SB) and allow each component to provide their own checks so they can&#010;&gt;&gt; be implemented ad-hoc. There is a ticket about this.&#010;&gt;&gt;&#010;&gt;&gt; 7)&#010;&gt;&gt; Possible some more teaks to camel-catalog based on feedback from IDEA&#010;&gt;&gt; plugin and the maven validate goal.&#010;&gt;&gt;&#010;&gt;&gt; 8)&#010;&gt;&gt; That CDI JEE transaction PR on github.&#010;&gt;&gt; Ideally we would have had a transaction API in camel-core and then one&#010;&gt;&gt; impl for camel-spring, and then another for camel-cdi-jee. But that&#010;&gt;&gt; may require too much work.&#010;&gt;&gt;&#010;&gt;&gt; 9)&#010;&gt;&gt; Work on the Java 8 DSL such as get more community feedback, and then&#010;&gt;&gt; resolve the TODOs with the documentation updates and look into other&#010;&gt;&gt; areas where the API can benefit from Java 8 lambdas and whatnot. I&#010;&gt;&gt; dont think we have a ticket about this.&#010;&gt;&gt;&#010;&gt;&gt; 10)&#010;&gt;&gt; Karaf users may want to improve/finish up the camel-test-karaf module&#010;&gt;&gt; so its more usable and end users can use it to test integration tests&#010;&gt;&gt; with Camel and Karaf.&#010;&gt;&gt;&#010;&gt;&gt; 11)&#010;&gt;&gt; Introduce Camel Connectors (more about this later)&#010;&gt;&gt;&#010;&gt;&gt;&#010;&gt;&gt; Anything else?&#010;&gt;&gt;&#010;&gt;&gt;&#010;&gt;&gt;&#010;&gt;&gt;&#010;&gt;&gt;&#010;&gt;&gt; --&#010;&gt;&gt; Claus Ibsen&#010;&gt;&gt; -----------------&#010;&gt;&gt; http://davsclaus.com @davsclaus&#010;&gt;&gt; Camel in Action 2: https://www.manning.com/ibsen2&#010;&gt;&#010;&gt;&#010;&gt;&#010;&gt; --&#010;&gt; Claus Ibsen&#010;&gt; -----------------&#010;&gt; http://davsclaus.com @davsclaus&#010;&gt; Camel in Action 2: https://www.manning.com/ibsen2&#010;&#010;"
8,8,Claus Ibsen,    Re: Camel 2.19 Roadmap,"Wed, 05 Apr, 13:08",http://mail-archives.apache.org/mod_mbox/camel-dev/201704.mbox/ajax/%3CCAGB5yN%3D2bgLei%2Bg6uQEMBp9UpmrNyR1CmT-GO7e-Vamrc%2B4bRg%40mail.gmail.com%3E,mails,"Hi Gregor&#010;&#010;Yeah its April so we should get the 2.19.0 release out the door.&#010;&#010;We have just setup a 2.20.0 version in JIRA and folks should start&#010;moving their tickets to that version if its something that they cannot&#010;finish in time. Also we should refrain from doing bigger work at this&#010;time as we should close down on last tickets, bug fixes, and get the&#010;CI tests in good order, etc.&#010;&#010;I will look at the JIRAs later this week and cleanup a bit so we have&#010;a better overview of what work is yet to be done.&#010;&#010;As April has the easter holidays. I wonder what you time schedule looks like?&#010;&#010;Maybe if you have time to help with the release after the holidays?&#010;&#010;Week 16 and 17 are the last 2 weeks in April after the holidays.&#010;If we could maybe cut the RC in week 16 then that would be good.&#010;&#010;&#010;&#010;&#010;&#010;On Mon, Apr 3, 2017 at 2:14 PM, Gregor Zurowski&#010;&lt;gregor@list.zurowski.org&gt; wrote:&#010;&gt; Hi,&#010;&gt;&#010;&gt; Are we getting closer to build a 2.19.0 release?  I would volunteer&#010;&gt; for creating the release, just wanted to check when would be a good&#010;&gt; time to do so.&#010;&gt;&#010;&gt; Thanks,&#010;&gt; Gregor&#010;&gt;&#010;&gt;&#010;&gt; On Wed, Mar 15, 2017 at 9:29 AM, Claus Ibsen &lt;claus.ibsen@gmail.com&gt; wrote:&#010;&gt;&gt; Hi&#010;&gt;&gt;&#010;&gt;&gt; Just wanted to bring up that we are closing in on a good time for&#010;&gt;&gt; doing a new release.&#010;&gt;&gt;&#010;&gt;&gt; For example in mid April it would be around 6 months since the last&#010;&gt;&gt; 2.18.0 release.&#010;&gt;&gt;&#010;&gt;&gt; Therefore we should start closing down and fixing bugs, and make sure&#010;&gt;&gt; the CI servers and tests are in good shape.&#010;&gt;&gt; This morning we have fixed a number of recent test failures and are&#010;&gt;&gt; down to only 1 test failure now.&#010;&gt;&gt;&#010;&gt;&gt;&#010;&gt;&gt;&#010;&gt;&gt; On Mon, Jan 16, 2017 at 10:28 AM, Claus Ibsen &lt;claus.ibsen@gmail.com&gt; wrote:&#010;&gt;&gt;&gt; Hi&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; There is a bunch of stuff which we can/should have on the roadmap to&#010;&gt;&gt;&gt; complete for the Camel 2.19 release.&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; Here is on top of my head&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; 1)&#010;&gt;&gt;&gt; Finish migrating the wiki documentation to adoc files. I think its&#010;&gt;&gt;&gt; most of the EIP patterns that are missing. There is a basic list of&#010;&gt;&gt;&gt; EIPs here: https://github.com/apache/camel/blob/master/camel-core/readme-eip.adoc&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; 2)&#010;&gt;&gt;&gt; Generate documentation and website. Maybe documentation first and then&#010;&gt;&gt;&gt; we come up with a modern website later - when we have a new logo as&#010;&gt;&gt;&gt; well.&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; 3)&#010;&gt;&gt;&gt; Mark more stuff to @deprecate so we dont drag them into Camel 3.0.&#010;&gt;&gt;&gt; This is both components / and other artifacts.&#010;&gt;&gt;&gt; And as well the camel-core APIs where there is maybe more we can deprecate.&#010;&gt;&gt;&gt; For example the old stuff that was created prior to the component docs&#010;&gt;&gt;&gt; we do now with the apt plugin at build time instead of this old code&#010;&gt;&gt;&gt; with runtime that dont really pan out anyway.&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; 4)&#010;&gt;&gt;&gt; Move spring-boot starters into the platforms folder. There is a ticket&#010;&gt;&gt;&gt; about this.&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; 5)&#010;&gt;&gt;&gt; More improvements to spring boot auto configuration. We have a bunch&#010;&gt;&gt;&gt; of tickets on that.&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; 6)&#010;&gt;&gt;&gt; Look at the health check API and see if there is something we can get&#010;&gt;&gt;&gt; started on.&#010;&gt;&gt;&gt; Possible some API to integrate with spring boot actuators (when using&#010;&gt;&gt;&gt; SB) and allow each component to provide their own checks so they can&#010;&gt;&gt;&gt; be implemented ad-hoc. There is a ticket about this.&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; 7)&#010;&gt;&gt;&gt; Possible some more teaks to camel-catalog based on feedback from IDEA&#010;&gt;&gt;&gt; plugin and the maven validate goal.&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; 8)&#010;&gt;&gt;&gt; That CDI JEE transaction PR on github.&#010;&gt;&gt;&gt; Ideally we would have had a transaction API in camel-core and then one&#010;&gt;&gt;&gt; impl for camel-spring, and then another for camel-cdi-jee. But that&#010;&gt;&gt;&gt; may require too much work.&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; 9)&#010;&gt;&gt;&gt; Work on the Java 8 DSL such as get more community feedback, and then&#010;&gt;&gt;&gt; resolve the TODOs with the documentation updates and look into other&#010;&gt;&gt;&gt; areas where the API can benefit from Java 8 lambdas and whatnot. I&#010;&gt;&gt;&gt; dont think we have a ticket about this.&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; 10)&#010;&gt;&gt;&gt; Karaf users may want to improve/finish up the camel-test-karaf module&#010;&gt;&gt;&gt; so its more usable and end users can use it to test integration tests&#010;&gt;&gt;&gt; with Camel and Karaf.&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; 11)&#010;&gt;&gt;&gt; Introduce Camel Connectors (more about this later)&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; Anything else?&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; --&#010;&gt;&gt;&gt; Claus Ibsen&#010;&gt;&gt;&gt; -----------------&#010;&gt;&gt;&gt; http://davsclaus.com @davsclaus&#010;&gt;&gt;&gt; Camel in Action 2: https://www.manning.com/ibsen2&#010;&gt;&gt;&#010;&gt;&gt;&#010;&gt;&gt;&#010;&gt;&gt; --&#010;&gt;&gt; Claus Ibsen&#010;&gt;&gt; -----------------&#010;&gt;&gt; http://davsclaus.com @davsclaus&#010;&gt;&gt; Camel in Action 2: https://www.manning.com/ibsen2&#010;&#010;&#010;&#010;-- &#010;Claus Ibsen&#010;-----------------&#010;http://davsclaus.com @davsclaus&#010;Camel in Action 2: https://www.manning.com/ibsen2&#010;&#010;"
9,9,Gregor Zurowski,      Re: Camel 2.19 Roadmap,"Fri, 07 Apr, 06:45",http://mail-archives.apache.org/mod_mbox/camel-dev/201704.mbox/ajax/%3CCADL1oAq3UFMbOZkofhgrqd6B8rhxpr3UUz_dks5%2BBtm_S2A6zw%40mail.gmail.com%3E,mails,"Hi Claus,&#010;&#010;Week 16 works for me.  I will send out another email shortly before&#010;starting to build the RC.&#010;&#010;Thanks,&#010;Gregor&#010;&#010;&#010;On Wed, Apr 5, 2017 at 3:08 PM, Claus Ibsen &lt;claus.ibsen@gmail.com&gt; wrote:&#010;&gt; Hi Gregor&#010;&gt;&#010;&gt; Yeah its April so we should get the 2.19.0 release out the door.&#010;&gt;&#010;&gt; We have just setup a 2.20.0 version in JIRA and folks should start&#010;&gt; moving their tickets to that version if its something that they cannot&#010;&gt; finish in time. Also we should refrain from doing bigger work at this&#010;&gt; time as we should close down on last tickets, bug fixes, and get the&#010;&gt; CI tests in good order, etc.&#010;&gt;&#010;&gt; I will look at the JIRAs later this week and cleanup a bit so we have&#010;&gt; a better overview of what work is yet to be done.&#010;&gt;&#010;&gt; As April has the easter holidays. I wonder what you time schedule looks like?&#010;&gt;&#010;&gt; Maybe if you have time to help with the release after the holidays?&#010;&gt;&#010;&gt; Week 16 and 17 are the last 2 weeks in April after the holidays.&#010;&gt; If we could maybe cut the RC in week 16 then that would be good.&#010;&gt;&#010;&gt;&#010;&gt;&#010;&gt;&#010;&gt;&#010;&gt; On Mon, Apr 3, 2017 at 2:14 PM, Gregor Zurowski&#010;&gt; &lt;gregor@list.zurowski.org&gt; wrote:&#010;&gt;&gt; Hi,&#010;&gt;&gt;&#010;&gt;&gt; Are we getting closer to build a 2.19.0 release?  I would volunteer&#010;&gt;&gt; for creating the release, just wanted to check when would be a good&#010;&gt;&gt; time to do so.&#010;&gt;&gt;&#010;&gt;&gt; Thanks,&#010;&gt;&gt; Gregor&#010;&gt;&gt;&#010;&gt;&gt;&#010;&gt;&gt; On Wed, Mar 15, 2017 at 9:29 AM, Claus Ibsen &lt;claus.ibsen@gmail.com&gt; wrote:&#010;&gt;&gt;&gt; Hi&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; Just wanted to bring up that we are closing in on a good time for&#010;&gt;&gt;&gt; doing a new release.&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; For example in mid April it would be around 6 months since the last&#010;&gt;&gt;&gt; 2.18.0 release.&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; Therefore we should start closing down and fixing bugs, and make sure&#010;&gt;&gt;&gt; the CI servers and tests are in good shape.&#010;&gt;&gt;&gt; This morning we have fixed a number of recent test failures and are&#010;&gt;&gt;&gt; down to only 1 test failure now.&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; On Mon, Jan 16, 2017 at 10:28 AM, Claus Ibsen &lt;claus.ibsen@gmail.com&gt; wrote:&#010;&gt;&gt;&gt;&gt; Hi&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt; There is a bunch of stuff which we can/should have on the roadmap to&#010;&gt;&gt;&gt;&gt; complete for the Camel 2.19 release.&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt; Here is on top of my head&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt; 1)&#010;&gt;&gt;&gt;&gt; Finish migrating the wiki documentation to adoc files. I think its&#010;&gt;&gt;&gt;&gt; most of the EIP patterns that are missing. There is a basic list of&#010;&gt;&gt;&gt;&gt; EIPs here: https://github.com/apache/camel/blob/master/camel-core/readme-eip.adoc&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt; 2)&#010;&gt;&gt;&gt;&gt; Generate documentation and website. Maybe documentation first and then&#010;&gt;&gt;&gt;&gt; we come up with a modern website later - when we have a new logo as&#010;&gt;&gt;&gt;&gt; well.&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt; 3)&#010;&gt;&gt;&gt;&gt; Mark more stuff to @deprecate so we dont drag them into Camel 3.0.&#010;&gt;&gt;&gt;&gt; This is both components / and other artifacts.&#010;&gt;&gt;&gt;&gt; And as well the camel-core APIs where there is maybe more we can deprecate.&#010;&gt;&gt;&gt;&gt; For example the old stuff that was created prior to the component docs&#010;&gt;&gt;&gt;&gt; we do now with the apt plugin at build time instead of this old code&#010;&gt;&gt;&gt;&gt; with runtime that dont really pan out anyway.&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt; 4)&#010;&gt;&gt;&gt;&gt; Move spring-boot starters into the platforms folder. There is a ticket&#010;&gt;&gt;&gt;&gt; about this.&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt; 5)&#010;&gt;&gt;&gt;&gt; More improvements to spring boot auto configuration. We have a bunch&#010;&gt;&gt;&gt;&gt; of tickets on that.&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt; 6)&#010;&gt;&gt;&gt;&gt; Look at the health check API and see if there is something we can get&#010;&gt;&gt;&gt;&gt; started on.&#010;&gt;&gt;&gt;&gt; Possible some API to integrate with spring boot actuators (when using&#010;&gt;&gt;&gt;&gt; SB) and allow each component to provide their own checks so they can&#010;&gt;&gt;&gt;&gt; be implemented ad-hoc. There is a ticket about this.&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt; 7)&#010;&gt;&gt;&gt;&gt; Possible some more teaks to camel-catalog based on feedback from IDEA&#010;&gt;&gt;&gt;&gt; plugin and the maven validate goal.&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt; 8)&#010;&gt;&gt;&gt;&gt; That CDI JEE transaction PR on github.&#010;&gt;&gt;&gt;&gt; Ideally we would have had a transaction API in camel-core and then one&#010;&gt;&gt;&gt;&gt; impl for camel-spring, and then another for camel-cdi-jee. But that&#010;&gt;&gt;&gt;&gt; may require too much work.&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt; 9)&#010;&gt;&gt;&gt;&gt; Work on the Java 8 DSL such as get more community feedback, and then&#010;&gt;&gt;&gt;&gt; resolve the TODOs with the documentation updates and look into other&#010;&gt;&gt;&gt;&gt; areas where the API can benefit from Java 8 lambdas and whatnot. I&#010;&gt;&gt;&gt;&gt; dont think we have a ticket about this.&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt; 10)&#010;&gt;&gt;&gt;&gt; Karaf users may want to improve/finish up the camel-test-karaf module&#010;&gt;&gt;&gt;&gt; so its more usable and end users can use it to test integration tests&#010;&gt;&gt;&gt;&gt; with Camel and Karaf.&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt; 11)&#010;&gt;&gt;&gt;&gt; Introduce Camel Connectors (more about this later)&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt; Anything else?&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&gt; --&#010;&gt;&gt;&gt;&gt; Claus Ibsen&#010;&gt;&gt;&gt;&gt; -----------------&#010;&gt;&gt;&gt;&gt; http://davsclaus.com @davsclaus&#010;&gt;&gt;&gt;&gt; Camel in Action 2: https://www.manning.com/ibsen2&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt;&#010;&gt;&gt;&gt; --&#010;&gt;&gt;&gt; Claus Ibsen&#010;&gt;&gt;&gt; -----------------&#010;&gt;&gt;&gt; http://davsclaus.com @davsclaus&#010;&gt;&gt;&gt; Camel in Action 2: https://www.manning.com/ibsen2&#010;&gt;&#010;&gt;&#010;&gt;&#010;&gt; --&#010;&gt; Claus Ibsen&#010;&gt; -----------------&#010;&gt; http://davsclaus.com @davsclaus&#010;&gt; Camel in Action 2: https://www.manning.com/ibsen2&#010;&#010;"
