,Email_ID,Trace_ID,Action,Date,Keyword_1,Keyword_2,Keyword_3,Keyword_4,Keyword_5
0,1,1,commit changes,2017-04-14 10:42,commit,headerselectorproducer,support,value,key
1,2,2,commit changes,2017-04-14 10:52,commit,rename,catalog,clash,runtimecatalog
2,3,2,commit changes,2017-04-14 10:52,commit,rename,catalog,clash,runtimecatalog
3,4,2,commit changes,2017-04-14 10:52,commit,rename,catalog,clash,runtimecatalog
4,5,2,commit changes,2017-04-14 10:52,commit,rename,catalog,clash,runtimecatalog
5,6,2,commit changes,2017-04-14 10:52,commit,rename,catalog,clash,runtimecatalog
6,7,2,commit changes,2017-04-14 10:53,commit,rename,catalog,clash,runtimecatalog
7,39,2,commit changes,2017-04-14 14:42,commit,rename,catalog,clash,runtimecatalog
8,8,3,commit changes,2017-04-14 10:55,commit,ported,wiki,camel-ignite,adoc
9,29,3,close pull request,2017-04-14 11:23,pull request,closed,camel-ignite,ported,wiki
10,30,3,automated comment issue,2017-04-14 11:23,pull request,commented,closed,readme.adoc,add
11,9,4,commit changes,2017-04-14 10:57,commit,test,camel-example-cxf-blueprint,pass,java
12,10,4,commit changes,2017-04-14 10:57,commit,test,camel-example-cxf-tomcat,pass,java
13,11,4,commit changes,2017-04-14 10:57,commit,test,camel-cxf-transport,pass,java
14,12,4,commit changes,2017-04-14 10:57,commit,test,camel-example-loan-broker-jms,pass,java
15,13,4,commit changes,2017-04-14 10:57,commit,test,camel-example-cdi-example,pass,java
16,14,4,commit changes,2017-04-14 10:57,test,commit,pass,camel-example-cdi-test,java
17,15,4,commit changes,2017-04-14 10:57,commit,test,camel-example-cdi-metrics,pass,java
18,16,4,commit changes,2017-04-14 10:57,commit,test,camel-example-cdi-properties,pass,java
19,17,4,commit changes,2017-04-14 10:57,commit,test,camel-example-reportincident,pass,java
20,18,4,commit changes,2017-04-14 10:57,commit,test,camel-example-rest-servlet,pass,java
21,19,4,commit changes,2017-04-14 10:57,commit,test,camel-example-pojo-messaging,pass,java
22,20,4,commit changes,2017-04-14 10:57,commit,test,camel-example-management,pass,java
23,21,4,commit changes,2017-04-14 10:57,commit,test,camel-example-spring-jms,pass,java
24,22,4,commit changes,2017-04-14 10:57,commit,test,camel-example-osgi-rmi,pass,java
25,23,4,commit changes,2017-04-14 10:58,test,commit,pass,camel-example-cafe,java
26,24,4,commit changes,2017-04-14 10:58,test,commit,skip,java,xml
27,25,4,commit changes,2017-04-14 10:58,test,commit,skip,java,xml
28,26,4,commit changes,2017-04-14 10:58,commit,test,camel-example-cxf-osgi,pass,java
29,27,4,commit changes,2017-04-14 10:58,commit,test,camel-example-loan-broker-cxf,pass,java
30,28,4,commit changes,2017-04-14 10:58,commit,test,camel-example-cxf-proxy,pass,java
31,32,4,close pull request,2017-04-14 11:40,test,pull request,closed,java,pass
32,31,5,build system update,2017-04-14 11:26,fixed,jenkins,build,camel.trunk.notest,success
33,35,5,build system update,2017-04-14 13:20,failure,build,jenkins,camel.trunk.notest,status
34,42,5,build system update,2017-04-14 16:08,build,jenkins,failing,camel.trunk.notest,still
35,44,5,build system update,2017-04-14 18:13,build,jenkins,failing,camel.trunk.notest,still
36,99,5,build system update,2017-04-18 08:49,failing,build,still,jenkins,camel.trunk.notest
37,112,5,build system update,2017-04-18 10:51,failing,build,jenkins,camel.trunk.notest,status
38,156,5,build system update,2017-04-18 16:56,fixed,camel.trunk.notest,jenkins,build,status
39,234,5,build system update,2017-04-19 11:51,jenkins,failure,build,camel.trunk.notest,system
40,33,6,assign issue,2017-04-14 13:05,assigned,camel-infinispan,store,improvement,header
41,34,6,issue update,2017-04-14 13:05,updated,camel-infinispan,store,improvement,fix version
42,93,6,work started issue,2017-04-18 07:56,camel-infinispan,header,store,started,
43,36,7,commit changes,2017-04-14 14:18,svn,commit,update,website,buildbot
44,37,8,commit changes,2017-04-14 14:26,commit,documentation,java,adoc,components/camel-cdi/src/main/docs/cdi.adoc
45,38,8,commit changes,2017-04-14 14:35,commit,documentation,testing,cdi,update
46,40,8,commit changes,2017-04-14 14:53,commit,exception,polish,multi-catch,java
47,41,8,commit changes,2017-04-14 15:39,commit,transactionerrorhandler,support,xml,cdi
48,43,9,ask a question,2017-04-14 17:15,multiple,traversing,response,route,tried
49,45,10,ask a question,2017-04-14 20:39,bean,transform,question,option,format
50,48,10,provide support,2017-04-16 07:27,bean,api,transformation,message,processor
51,46,11,ask a question,2017-04-16 03:49,error,websocket,port,binding,poc
52,49,11,provide support,2017-04-16 07:27,websocket,old,port,binding,error
53,47,12,distribute situational awareness,2017-04-16 07:22,review,feedback,trustradius,linkedin,developer
54,50,13,create issue,2017-04-16 07:31,created,camel-ssh,header,improvement,message
55,51,13,provide support,2017-04-16 07:31,ticket,support,header,logged,username/password
56,54,13,assign issue,2017-04-17 11:32,header,reassigned,camel-ssh,username/password,assigned
57,80,13,open pull request,2017-04-18 07:22,ssh,credential,opened,pull request,header
58,81,13,automated comment issue,2017-04-18 07:22,commented,camel-ssh,pull request,header,username/password
59,119,13,commit changes,2017-04-18 11:21,fix,naming,commit,impl,ssh
60,120,13,issue update,2017-04-18 11:22,camel-ssh,updated,header,fix,fix version
61,121,13,resolve issue,2017-04-18 11:23,resolved,camel-ssh,fixed,header,username/password
62,122,13,close pull request,2017-04-18 11:24,credential,ssh,closed,set,pull request
63,123,13,automated comment issue,2017-04-18 11:25,camel-ssh,commented,closed,header,pull request
64,52,14,ask a question,2017-04-16 22:46,hystrix,suggest,threadpool,configuration,usecase
65,111,14,provide support,2017-04-18 10:44,hystrix,route,inject,dynamically,property
66,160,14,close question,2017-04-19 03:40,hystrix,response,inject,dynamically,route
67,53,15,ask a question,2017-04-17 10:08,delete,file,.camel,outside,issue
68,82,15,provide support,2017-04-18 07:25,file,delete,access,not able,denied
