,id,author,subject,content_url,dtype,date,content
0,1,Bernard Ligny,  Re: Why do we have to specify a context for @PropertyInject ?,http://mail-archives.apache.org/mod_mbox/camel-users/201704.mbox/ajax/%3C1490891241997-5796750.post%40n5.nabble.com%3E,users,"Thu, 30 Mar 2017 16:27:21 GMT",Improvement issue created:&#010;https://issues.apache.org/jira/browse/CAMEL-11097&#010;&#010;&#010;&#010;--&#010;View this message in context: http://camel.465427.n5.nabble.com/Why-do-we-have-to-specify-a-context-for-PropertyInject-tp5796699p5796750.html&#010;Sent from the Camel - Users mailing list archive at Nabble.com.&#010;&#010;
1,2,Antonin Stefanutti,    Re: Why do we have to specify a context for @PropertyInject ?,http://mail-archives.apache.org/mod_mbox/camel-users/201704.mbox/ajax/%3CCAF52D5C-2241-4160-AE7E-58F89DAF7E5E%40stefanutti.fr%3E,users,"Tue, 04 Apr 2017 12:50:49 GMT","Thanks for the detailed report. That makes sense to contextualize the default context based&#010;on @ContextName.&#010;&#010;Antonin&#010;&#010;&gt; On 30 Mar 2017, at 18:27, Bernard Ligny &lt;bernard.ligny@gmail.com&gt; wrote:&#010;&gt; &#010;&gt; Improvement issue created:&#010;&gt; https://issues.apache.org/jira/browse/CAMEL-11097&#010;&gt; &#010;&gt; &#010;&gt; &#010;&gt; --&#010;&gt; View this message in context: http://camel.465427.n5.nabble.com/Why-do-we-have-to-specify-a-context-for-PropertyInject-tp5796699p5796750.html&#010;&gt; Sent from the Camel - Users mailing list archive at Nabble.com.&#010;&#010;&#010;"
2,3,jbailie1992,Camel - No component found with scheme:mybatis,http://mail-archives.apache.org/mod_mbox/camel-users/201704.mbox/ajax/%3C1490915351181-5796761.post%40n5.nabble.com%3E,users,"Thu, 30 Mar 2017 23:09:11 GMT","I've got a Spring Boot app that makes use of Camel and Mybatis. I've got the&#010;following mybatis dependencies in pom.xml:&#010;&#010;*pom.xml*&#010;&#010;    ....&#010;    &lt;dependency&gt;&#010;        &lt;groupId&gt;org.apache.camel&lt;/groupId&gt;&#010;        &lt;artifactId&gt;camel-mybatis&lt;/artifactId&gt;&#010;        &lt;version&gt;${camel.version}&lt;/version&gt;&#010;    &lt;/dependency&gt;&#010;    ....&#010;    &lt;dependency&gt;&#010;        &lt;groupId&gt;org.mybatis.spring.boot&lt;/groupId&gt;&#010;        &lt;artifactId&gt;mybatis-spring-boot-starter&lt;/artifactId&gt;&#010;        &lt;version&gt;1.0.1&lt;/version&gt;&#010;    &lt;/dependency&gt;&#010;    ....&#010;&#010;I've got the following route:&#010;&#010;*MyRoute.java*&#010;&#010;    @Component&#010;    public class MyRoute extends SpringRouteBuilder{&#010;&#010;        @Autowired&#010;        MQConnectionProperties mqConnectionProperties;&#010;&#010;        @Override&#010;        public void configure() throws Exception {&#010;            from(mqConnectionProperties.getResponseQueue())&#010;            .to(""mybatis:selectLogByPrimaryKey?statementType=SelectOne"")&#010;            .process(new TargetSystemProcessor())&#010;            .end()&#010;        }&#010;    }&#010;&#010;and the test for the route:&#010;&#010;*MyRouteUnitTest.java*&#010;&#010;    @RunWith(SpringJUnit4ClassRunner.class)&#010;    @ContextConfiguration(classes = {MyRouteTestConfiguration.class})&#010;    @DirtiesContext(classMode = ClassMode.AFTER_EACH_TEST_METHOD)&#010;    public class MyRouteUnitTest extends CamelTestSupport{&#010;&#010;        @Mock&#010;        MyBatisComponent mybatis;&#010;        @Autowired&#010;        MQConnectionProperties mqProps;&#010;        @Autowired&#010;        MyRouteBuilder route;&#010;&#010;        @Before&#010;        public void setup() throws Exception {&#010;            super.setUp();&#010;            context.addComponent(""mybatis"", mybatis);&#010;        }&#010;    &#010;        @Test&#010;        public void test() throws Exception {&#010;            startCamelContext();&#010;        &#010;            assertTrue(true);&#010;&#010;            stopCamelContext();&#010;        }&#010;    }&#010;&#010;When I try to start the test without adding mybatis as a component to the&#010;context, I get this error:&#010;&#010;    org.apache.camel.FailedToCreateRouteException: Failed to create route&#010;My_Route at: &gt;&gt;&gt;&#010;To[mybatis:selectAuditLogByPrimaryKey?statementType=SelectOne] &lt;&lt;&lt; in route:&#010;Route(My_Route)[[From[seda:inpu... because of Failed to resolve endpoint:&#010;mybatis://selectAuditLogByPrimaryKey?statementType=SelectOne due to: Cannot&#010;auto create component: mybatis&#010;    ....&#010;    Caused by: org.apache.camel.ResolveEndpointFailedException: Failed to&#010;resolve endpoint:&#010;mybatis://selectAuditLogByPrimaryKey?statementType=SelectOne due to: Cannot&#010;auto create component: mybatis&#010;    ....&#010;    Caused by: java.io.FileNotFoundException: Cannot find resource:&#010;SqlMapConfig.xml in classpath for URI: SqlMapConfig.xml&#010;&#010;&#010;&#010;Whenever I add the component to the context as shown i nthe test above, I&#010;get this error:&#010;&#010;    org.apache.camel.FailedToCreateRouteException: Failed to create route&#010;My_Route at: &gt;&gt;&gt;&#010;To[mybatis:selectAuditLogByPrimaryKey?statementType=SelectOne] &lt;&lt;&lt; in route:&#010;Route(My_Route)[[From[seda:inpu... because of Failed to resolve endpoint:&#010;mybatis://selectAuditLogByPrimaryKey?statementType=SelectOne due to: No&#010;component found with scheme: mybatis&#010;&#010;&#010;As far as I can tell, I've got the right dependencies i nthe pom file to&#010;hook all of this together, and mybatis works fine in the source code. For&#010;unit testing I can work around it by replacing the endpoint, but I can't&#010;write any integration tests for my route&#010;&#010;&#010;&#010;--&#010;View this message in context: http://camel.465427.n5.nabble.com/Camel-No-component-found-with-scheme-mybatis-tp5796761.html&#010;Sent from the Camel - Users mailing list archive at Nabble.com.&#010;&#010;"
3,4,varunmaurya,Shutting down camel immediately,http://mail-archives.apache.org/mod_mbox/camel-users/201704.mbox/ajax/%3C1490919993384-5796763.post%40n5.nabble.com%3E,users,"Fri, 31 Mar 2017 00:26:33 GMT",How can we shutdown camel context and underlying routes immediately (not&#010;gracefully).&#010;http://stackoverflow.com/questions/43124437/how-to-stop-camel-context-immediately/&#010;&lt;http://stackoverflow.com/questions/43124437/how-to-stop-camel-context-immediately/&gt;&#010; &#010;&#010;&#010;&#010;--&#010;View this message in context: http://camel.465427.n5.nabble.com/Shutting-down-camel-immediately-tp5796763.html&#010;Sent from the Camel - Users mailing list archive at Nabble.com.&#010;&#010;
4,5,Claus Ibsen,  Re: Shutting down camel immediately,http://mail-archives.apache.org/mod_mbox/camel-users/201704.mbox/ajax/%3CCAGB5yNmf34TYo%2B-S_a2z3BhMWCvsR_kYvu9ADewvxEaeYHOL4Q%40mail.gmail.com%3E,users,"Tue, 04 Apr 2017 08:06:40 GMT","System.exit(0) shutdown really fast.&#010;&#010;Well just set a short timeout value like 1 second or something. But&#010;mind its not a good idea to shutdown a running app and not give it&#010;time to shutdown correct&#010;&#010;On Fri, Mar 31, 2017 at 2:26 AM, varunmaurya &lt;speedvarun@gmail.com&gt; wrote:&#010;&gt; How can we shutdown camel context and underlying routes immediately (not&#010;&gt; gracefully).&#010;&gt; http://stackoverflow.com/questions/43124437/how-to-stop-camel-context-immediately/&#010;&gt; &lt;http://stackoverflow.com/questions/43124437/how-to-stop-camel-context-immediately/&gt;&#010;&gt;&#010;&gt;&#010;&gt;&#010;&gt; --&#010;&gt; View this message in context: http://camel.465427.n5.nabble.com/Shutting-down-camel-immediately-tp5796763.html&#010;&gt; Sent from the Camel - Users mailing list archive at Nabble.com.&#010;&#010;&#010;&#010;-- &#010;Claus Ibsen&#010;-----------------&#010;http://davsclaus.com @davsclaus&#010;Camel in Action 2: https://www.manning.com/ibsen2&#010;&#010;"
5,6,,Re: Splitting within transactions,http://mail-archives.apache.org/mod_mbox/camel-users/201704.mbox/ajax/%3CCAGB5yNmf34TYo%2B-S_a2z3BhMWCvsR_kYvu9ADewvxEaeYHOL4Q%40mail.gmail.com%3E,users,"Tue, 04 Apr 2017 08:06:40 GMT","System.exit(0) shutdown really fast.&#010;&#010;Well just set a short timeout value like 1 second or something. But&#010;mind its not a good idea to shutdown a running app and not give it&#010;time to shutdown correct&#010;&#010;On Fri, Mar 31, 2017 at 2:26 AM, varunmaurya &lt;speedvarun@gmail.com&gt; wrote:&#010;&gt; How can we shutdown camel context and underlying routes immediately (not&#010;&gt; gracefully).&#010;&gt; http://stackoverflow.com/questions/43124437/how-to-stop-camel-context-immediately/&#010;&gt; &lt;http://stackoverflow.com/questions/43124437/how-to-stop-camel-context-immediately/&gt;&#010;&gt;&#010;&gt;&#010;&gt;&#010;&gt; --&#010;&gt; View this message in context: http://camel.465427.n5.nabble.com/Shutting-down-camel-immediately-tp5796763.html&#010;&gt; Sent from the Camel - Users mailing list archive at Nabble.com.&#010;&#010;&#010;&#010;-- &#010;Claus Ibsen&#010;-----------------&#010;http://davsclaus.com @davsclaus&#010;Camel in Action 2: https://www.manning.com/ibsen2&#010;&#010;"
6,7,firpili,  Re: Splitting within transactions,http://mail-archives.apache.org/mod_mbox/camel-users/201704.mbox/ajax/%3C1490951272545-5796774.post%40n5.nabble.com%3E,users,"Fri, 31 Mar 2017 09:07:52 GMT","Hi Claus ! I am more or less new in Camel .. I would like to do something&#010;similar but with files..&#010;&#010;I mean.. I have a XML file like:&#010;&lt;Orders&gt;&#010;&lt;order&gt;&#010;&lt;id&gt;1&lt;/id&gt;&#010;&lt;desc&gt;desc 1&lt;/desc&gt;&#010;&lt;/order&gt;&#010;&lt;order&gt;&#010;&lt;id&gt;2&lt;/id&gt;&#010;&lt;desc&gt;dec 2&lt;/desc&gt;&#010;&lt;/order&gt;&#010;&lt;/Orders&gt;&#010;&#010;and i want to split it in order to store in a database in a single&#010;transaction.. I mean.. if some Order is wrong during the process no 'order'&#010;of this XML file will be store in the database.. instead of that i would&#010;like to throw an exception or st like that..&#010;&#010;Do u thing is enough with this or i need to configure anything in my&#010;database configuration ?&#010;I am a bit lost.&#010;&#010;from(""direct:myRoute"").transacted().split(xpath(""Orders/order"")).unmarshall(dataFormat).process(My&#010;Processor()).to(""jta:com.model.Orders?usePersists=true"")&#010;&#010;It would be great if someone can help me, thanks!!&#010;&#010;&#010;&#010;--&#010;View this message in context: http://camel.465427.n5.nabble.com/Splitting-within-transactions-tp5719539p5796774.html&#010;Sent from the Camel - Users mailing list archive at Nabble.com.&#010;&#010;"
7,8,Nick Dmnick,Searching analog of getBean (Spring) in Blueprint,http://mail-archives.apache.org/mod_mbox/camel-users/201704.mbox/ajax/%3C1490962746398-5796781.post%40n5.nabble.com%3E,users,"Fri, 31 Mar 2017 12:19:06 GMT","Hello, Camel community. &#010;&#010;What is an analog of Spring' getBean method in Blueprint? Can't find in&#010;google. &#010;&#010;What I use now in Spring:&#010;&#010;private ApplicationContext appContext;&#010;ITProfixLogger sli= (ITProfixLogger) appContext.getBean(""logW"");&#010;&#010;What I need: convert it in Blueprint.&#010;&#010;&#010;&#010;--&#010;View this message in context: http://camel.465427.n5.nabble.com/Searching-analog-of-getBean-Spring-in-Blueprint-tp5796781.html&#010;Sent from the Camel - Users mailing list archive at Nabble.com.&#010;&#010;"
8,9,Quinn Stevenson,  Re: Searching analog of getBean (Spring) in Blueprint,http://mail-archives.apache.org/mod_mbox/camel-users/201704.mbox/ajax/%3CEDBABBE3-358D-4219-9E1E-5994D1B6AB33%40pronoia-solutions.com%3E,users,"Tue, 04 Apr 2017 15:00:41 GMT","You get it from the Blueprint Container (  https://osgi.org/javadoc/r4v42/org/osgi/service/blueprint/container/BlueprintContainer.html#getComponentInstance(java.lang.String)&#010;&lt;https://osgi.org/javadoc/r4v42/org/osgi/service/blueprint/container/BlueprintContainer.html#getComponentInstance(java.lang.String)&gt;&#010;)&#010;&#010;&#010;&#010;&#010;&gt; On Mar 31, 2017, at 6:19 AM, Nick Dmnick &lt;DmitrenkoNA@skblab.ru&gt; wrote:&#010;&gt; &#010;&gt; Hello, Camel community. &#010;&gt; &#010;&gt; What is an analog of Spring' getBean method in Blueprint? Can't find in&#010;&gt; google. &#010;&gt; &#010;&gt; What I use now in Spring:&#010;&gt; &#010;&gt; private ApplicationContext appContext;&#010;&gt; ITProfixLogger sli= (ITProfixLogger) appContext.getBean(""logW"");&#010;&gt; &#010;&gt; What I need: convert it in Blueprint.&#010;&gt; &#010;&gt; &#010;&gt; &#010;&gt; --&#010;&gt; View this message in context: http://camel.465427.n5.nabble.com/Searching-analog-of-getBean-Spring-in-Blueprint-tp5796781.html&#010;&gt; Sent from the Camel - Users mailing list archive at Nabble.com.&#010;&#010;&#010;"
9,10,,Re: Using ConsumerTemplate to fetch files.,http://mail-archives.apache.org/mod_mbox/camel-users/201704.mbox/ajax/%3CEDBABBE3-358D-4219-9E1E-5994D1B6AB33%40pronoia-solutions.com%3E,users,"Tue, 04 Apr 2017 15:00:41 GMT","You get it from the Blueprint Container (  https://osgi.org/javadoc/r4v42/org/osgi/service/blueprint/container/BlueprintContainer.html#getComponentInstance(java.lang.String)&#010;&lt;https://osgi.org/javadoc/r4v42/org/osgi/service/blueprint/container/BlueprintContainer.html#getComponentInstance(java.lang.String)&gt;&#010;)&#010;&#010;&#010;&#010;&#010;&gt; On Mar 31, 2017, at 6:19 AM, Nick Dmnick &lt;DmitrenkoNA@skblab.ru&gt; wrote:&#010;&gt; &#010;&gt; Hello, Camel community. &#010;&gt; &#010;&gt; What is an analog of Spring' getBean method in Blueprint? Can't find in&#010;&gt; google. &#010;&gt; &#010;&gt; What I use now in Spring:&#010;&gt; &#010;&gt; private ApplicationContext appContext;&#010;&gt; ITProfixLogger sli= (ITProfixLogger) appContext.getBean(""logW"");&#010;&gt; &#010;&gt; What I need: convert it in Blueprint.&#010;&gt; &#010;&gt; &#010;&gt; &#010;&gt; --&#010;&gt; View this message in context: http://camel.465427.n5.nabble.com/Searching-analog-of-getBean-Spring-in-Blueprint-tp5796781.html&#010;&gt; Sent from the Camel - Users mailing list archive at Nabble.com.&#010;&#010;&#010;"
